hjd,camera,mag,mag_err,flux,flux_err
2458417.9052,ba,11.124,0.02,145.412,2.676
2457663.9558,ba,11.1,0.02,148.715,2.736
2457007.78759,bb,11.12,0.02,136.689,2.515
2457735.84382,bb,11.105,0.02,138.615,2.551
2457323.86587,ba,11.12,0.02,145.925,2.685
2456989.79573,ba,11.119,0.02,146.18,2.69
2456478.02641,bb,11.448,0.02,101.075,1.86
2457307.90877,bb,11.111,0.02,137.869,2.537
2458010.95203,ba,11.106,0.02,147.858,2.721
2457037.73908,bb,11.102,0.02,138.995,2.558
2456884.99377,ba,11.095,0.02,149.353,2.748
2457341.8785,ba,11.116,0.02,146.561,2.697
2457236.03534,bb,11.12,0.02,136.712,2.516
2456905.87401,bb,11.112,0.02,137.819,2.536
2458321.99176,bb,11.284,0.02,117.54,2.163
2458134.7194,bb,11.133,0.02,135.109,2.486
2456909.95968,bb,11.11,0.02,138.062,2.54
2458003.93795,bb,11.115,0.02,137.332,2.527
2457550.08111,bb,11.122,0.02,136.55,2.513
2456510.92562,bb,11.076,0.02,142.34,2.619
2457318.92584,ba,11.104,0.02,148.107,2.725
2456999.79026,ba,11.119,0.02,146.16,2.689
2457591.98486,bb,11.136,0.02,134.741,2.479
2456497.9369,bb,11.172,0.02,130.296,2.397
2458079.90698,bb,11.282,0.02,117.75,2.167
2457940.03572,bb,11.132,0.02,135.214,2.488
2456600.87108,bb,11.383,0.02,107.298,1.974
2457245.07946,bb,11.114,0.02,137.533,2.531
2456825.04987,ba,11.104,0.02,148.18,2.727
2457998.05357,bb,11.119,0.02,136.84,2.518
2457637.04813,bb,11.112,0.02,137.768,2.535
2458017.97865,ba,11.1,0.02,148.636,2.735
2457978.03514,bb,11.106,0.02,138.541,2.549
2456894.98359,bb,11.097,0.02,139.702,2.571
2458078.9111,bb,11.107,0.02,138.451,2.548
2457737.73941,ba,11.112,0.02,147.125,2.707
2458428.89,bb,11.126,0.02,135.931,2.501
2457377.79448,bb,11.122,0.02,136.48,2.511
2458032.97017,ba,11.265,0.02,127.679,2.349
2456864.02332,ba,11.094,0.02,149.503,2.751
2457996.98753,ba,11.121,0.02,145.873,2.684
2457935.03208,ba,11.105,0.02,147.968,2.723
2457694.93335,bb,11.126,0.02,136.005,2.502
2457755.78154,bb,11.116,0.02,137.288,2.526
2457761.75428,bb,11.118,0.02,136.997,2.521
2458032.94553,bb,11.273,0.02,118.745,2.185
2457003.8007,bb,11.122,0.02,136.48,2.511
2458366.07569,bb,11.122,0.02,136.486,2.511
2458431.84444,ba,11.138,0.02,143.575,2.642
2456536.92803,bb,11.09,0.02,140.632,2.588
2457320.78694,ba,11.113,0.02,146.942,2.704
2457164.10649,ba,11.129,0.02,144.738,2.663
2457735.817,ba,11.128,0.02,144.89,2.666
2456458.05143,bb,11.182,0.02,129.118,2.376
2457972.94636,bb,11.127,0.02,135.847,2.5
2457705.82003,bb,11.12,0.02,136.697,2.515
2456971.85539,bb,11.122,0.02,136.442,2.511
2457003.77105,ba,11.121,0.02,145.905,2.685
2457921.09821,bb,11.197,0.02,127.389,2.344
2457317.7282,bb,11.217,0.02,125.071,2.301
2457038.73697,bb,11.109,0.02,138.117,2.541
2456881.97419,ba,11.092,0.02,149.823,2.757
2457588.00091,bb,11.117,0.02,137.135,2.523
2456488.00311,bb,11.114,0.02,137.543,2.531
2456478.01544,ba,11.469,0.02,105.808,1.947
2457190.09055,bb,11.123,0.02,136.37,2.509
2457264.90672,bb,11.138,0.02,134.54,2.476
2456867.02188,ba,11.087,0.02,150.512,2.769
2456454.06703,ba,11.111,0.02,147.157,2.708
2456967.91358,ba,11.129,0.02,144.722,2.663
2456877.01661,bb,11.118,0.02,137.012,2.521
2458130.75378,bb,11.117,0.02,137.152,2.524
2458037.01955,bb,11.121,0.02,136.662,2.515
2457765.75203,bb,11.256,0.02,120.669,2.22
2456799.11365,bb,11.1,0.02,139.32,2.563
2456520.87995,bb,11.088,0.02,140.784,2.59
2457403.71489,bb,11.117,0.02,137.116,2.523
